id,name,name_short,oecd_accession_date,eu_accession_date,code_iso2,flag,comment,data_json
1,Slovakia,SVK,2000-12-14,2004-05-01,SK,🇸🇰,,
5,Japan,JPN,1964-04-28,,JP,🇯🇵,,
7,Luxembourg,LUX,1961-12-07,1958-01-01,LU,🇱🇺,,
8,Netherlands,NLD,1961-11-13,1958-01-01,NL,🇳🇱,,
9,Norway,NOR,1961-07-04,,NO,🇳🇴,,
10,Bulgaria,BGR,,2007-01-01,BG,🇧🇬,,
11,New Zealand,NZL,1973-05-29,,NZ,🇳🇿,,
15,Lithuania,LTU,,2004-05-01,LT,🇱🇹,,
20,Turkey,TUR,1961-08-02,,TR,🇹🇷,,
21,Denmark,DNK,1961-05-30,1973-01-01,DK,🇩🇰,,
23,Romania,ROU,,2007-01-01,RO,🇷🇴,,
26,Italy,ITA,1962-03-29,1958-01-01,IT,🇮🇹,,
27,Spain,ESP,1961-08-03,1986-01-01,ES,🇪🇸,,
29,Canada,CAN,1961-04-10,,CA,🇨🇦,,
33,Australia,AUS,1971-06-07,,AU,🇦🇺,,
34,Israel,ISR,2010-09-07,,IL,🇮🇱,,
35,Sweden,SWE,1961-09-28,1995-01-01,SE,🇸🇪,,"{""negative_parliamentarism"": ""1975-01-01""}"
37,Ireland,IRL,1961-08-17,1973-01-01,IE,🇮🇪,,
39,Hungary,HUN,1996-05-07,2004-05-01,HU,🇭🇺,,
40,Switzerland,CHE,1961-09-28,,CH,🇨🇭,,
41,Greece,GRC,1961-09-27,1981-01-01,GR,🇬🇷,,
43,France,FRA,1961-08-07,1958-01-01,FR,🇫🇷,,
44,United Kingdom,GBR,1961-05-02,1973-01-01,GB,🇬🇧,,
51,Cyprus,CYP,,2004-05-01,CY,🇨🇾,,
54,Germany,DEU,1961-09-27,1958-01-01,DE,🇩🇪,,
55,Latvia,LVA,,2004-05-01,LV,🇱🇻,,
56,Iceland,ISL,1961-06-05,,IS,🇮🇸,,
59,Austria,AUT,1961-09-29,1995-01-01,AT,🇦🇹,,"{""cabinet_description"": true}"
60,Slovenia,SVN,2010-06-21,2004-05-01,SI,🇸🇮,,
62,Croatia,HRV,,2013-07-01,HR,🇭🇷,,
63,Portugal,PRT,1961-08-04,1986-01-01,PT,🇵🇹,,
64,Belgium,BEL,1961-09-13,1958-01-01,BE,🇧🇪,,
67,Finland,FIN,1969-01-28,1995-01-01,FI,🇫🇮,,
68,Czech Republic,CZE,1995-12-21,2004-05-01,CZ,🇨🇿,,"{""cabinet_description"": true}"
72,Malta,MLT,,2004-05-01,MT,🇲🇹,,
74,Poland,POL,1996-11-22,2004-05-01,PL,🇵🇱,,
75,Estonia,EST,2010-12-09,2004-05-01,EE,🇪🇪,,
