type,title,author,country,content,date,id
115,Adding news section to summarize recent changes,hd,,This page will log the most recent changes to ParlGov. Some of the significant changes from recent weeks will also be included back-dated.,2009-08-08,1
115,Wiki and ticket system online,hd,,A project management system for ParlGov with a wiki and an issue management system is now online ([wiki.parlgov.org](http://wiki.parlgov.org/)). We make use of the [Trac](http://trac.edgewall.org/) system. This software uses a different authentication system and you have to login separately. Use *guest* and *ParlGovGuest* to login.,2009-08-04,2
112,Italy data revised,fb,26,Election results and government composition data on Italy has been thoroughly revised. ParlGov now includes the official election results. Working on Italy has also brought a new table parl_alliance into ParlGov to code the membership in electoral alliances. See the 1994 and succeeding parliamentary election for a wide use of this coding scheme.,2009-08-03,3
114,Defector parties column for cabinets ,hd,,The table cab_party now includes an additional column to code defector parties. With this observation we indicate if a party left a governing coaliton. Including this variable was inspired by Tavits' 2008 paper *The Role of Parties’ Past Behavior in Coalition Formation*.,2009-08-07,4
112,Central- and East European countries double checked,mb,,"We have finished double checking our data on parties, election outcomes and government compositions for the Central- and East European EU member states. Government composition data was compared to information provided by Müller-Rommel ea. (2008) and EJPR Yearbooks.

Our electoral results on Central- and Eastern Europe still lack a systematic coding of electoral alliances and an inclusion of official election results. Please let us know if you notice any data bugs. ",2009-07-31,5
107,Luxembourg election and new government,hd,7,"We have included [official election results](http://www.elections.public.lu/) for recent national and EP elections, as well as information about the new cabinet.",2009-08-10,6
115,ParlGov in Italy,hd,,"Holger has moved to Florence in Italy, where he will spend the academic year as a Max Weber Postdoctoral Fellow at the European University Institute (EUI). Hopefully, many local expertise about the countries we cover in ParlGov will even further improve the data quality.",2009-09-01,7
111,ParlGov in Rome,hd,,"Holger gave a talk at the XXIII Annual Conference of the Italian Society of Political Science (SISP) in a sequence of ""Short courses in web research"". Among other topics, ParlGov and its concept were introduced. Many thanks for the interest in the audience and to Francesco Zucchini (University of Milan) for the invitation.",2009-09-17,8
111,ParlGov in Potsdam,hd,,"5th ECPR General Conference 2009, Potsdam",2009-09-10,9
111,ParlGov in Turin,hd,,Another presentation of ParlGov in Italy. This time in Turin as part of a workshop at the ECPR Carlo Alberto Summer School on Analytical Politics in Europe. Thanks to Fabio Franchino (University of Milan) for inviting.,2009-09-21,10
107,Bulgarian election and government added,hd,10,Recent election results and government formation in Bulgaria from July 2009 added to ParlGov.,2009-10-10,11
107,German election results added,hd,54,Official German election results from the [Bundeswahlleiter](http://www.bundeswahlleiter.de/de/bundestagswahlen/BTW_BUND_09/ergebnisse/bundesergebnisse/index.html) added.,2009-10-24,12
114,CHES data added,hd,,"[Chapel Hill Expert Survey Series (CHES)](http://chesdata.eu/) data added to ParlGov. Due to the new structure of the CHES data, there is now a separate link to the [Ray data set](http://www.lsu.edu/faculty/lray2/data/data.html).",2009-10-25,13
107,German cabinet added,hd,54,"ParlGov was started at the MPIfG in Cologne in Germany in 2005 and is the home country of the project leaders. Hence, this is the country were we have most expertise and that we keep updated as a reference country for the coding. Therefore, we have added the new cabinet just at the day when Angela Merkel was re-elected as chancellor in the German Bundestag. To better understand the fine grained coding that we have already included into ParlGov for Germany, have a look at the election results for 1969 and see the coding of changes in the party composition of the Bundestag. ",2009-10-28,14
114,EU Profiler parties added,hd,,"Here at the European University Institute, [Alexander Trechsel](http://www.eui.eu/DepartmentsAndCentres/PoliticalAndSocialSciences/People/Professors/Profiles/AlexanderTrechsel.aspx) has kindly provided a list of the parties from the [EU Profiler](http://euprofiler.eu/) project with party names and their IDs. We have now linked all these parties to the ParlGov parties and added the new ones. The full EU Profiler data set will be published in 2010. ",2009-10-29,15
107,EP elections 2009 — coding finished,hd,,"This took a while, but we have now finished adding results of the European Parliament Election 2009 from last June. For most countries we were able to make use of official election results. Adding almost thirty elections, with a lot of electoral alliances took some time. As always, we tried to code all parties with more than 0.5% of the national vote. National elections and government formations that took place before the EP election in June are already included. Hence, testing 'second order' theories of EP elections is straightforward with ParlGov and some database queries.",2009-10-31,16
107,Japanese election and government added,hd,5,Election results and government formation in Japan from September 2009 added to ParlGov. You may also want to have a look at the list of Japanese parties in ParlGov to better understand our efforts of paying attention to details by providing original party names.,2009-11-01,17
114,Ray party expert survey IDs added,hd,,Updating ParlGov's party table to the most recent [CHESS data](http://www.unc.edu/~gwmarks/data_pp.php) required to include the party IDs from the [Ray expert survey](http://www.lsu.edu/faculty/lray2/data/1996survey/codebook.html) separately. We have now finished linking all party IDs from the Ray data set. Most of the IDs from CHESS and Ray's data are identical but be aware that some of them are different. ,2009-11-08,18
113,Short paper about ParlGov available,hd,,"We have written a short paper about ParlGov and specified the full title of the project: ""Parliament and government composition database (ParlGov): An infrastructure for empirical information on parties, elections and governments in modern democracies"". The paper provides an introduction about the concept and technologies of ParlGov.",2009-11-12,19
107,Greek election and new governments added,hd,41,Results from the recent September election in Greece were added to ParlGov. In addition we have added the new Papandreou cabinet to ParlGov. ,2009-11-23,20
111,ParlGov in Siena,hd,,"Today, Holger gave a presentation at the Jean Blondel Tuesday Seminar of the Political Science department from the University of Siena. In the presentation he discussed recent innovations in gathering political science data and presented the ParlGov project. Thanks to Nicolò Conti and Luca Verzichelli for the invitation and the warm welcome in Siena.
 ",2010-01-12,21
107,New Belgian cabinet added,hd,64,The recent formation of the Leterme II cabinet in Belgium has been added to ParlGov. Together with the recently added Boc II cabinet in Romania this should complete all political data in ParlGov until the end of 2009.,2010-01-13,22
110,release schedule,hd,,"A first release of ParlGov was scheduled for January. Let us specify how we proceed with the release. Tomorrow, we will provide a first beta version at [www.parlgov.org](http://www.parlgov.org) and will ask for some feedback. To this version, we also have to add some very minor corrections. A week later, we will introduce a second version for testing purposes, including recommendations and fixed open issues. The first official version of our data project will be ParlGov 10/02 (February 2010) and we release it in the third week of February.",2010-01-31,23
110,beta-1 released,hd,,This is the first release used for internal testing. Beta 2 will be released within a week from now.,2010-02-01,24
110,beta-2 released,hd,,"This is the second of three beta releases. We have received some valuable comments on the first beta version from colleagues in Cologne, Florence, Heidelberg, Konstanz and Vienna. ",2010-02-08,25
110,beta-3 uploaded,hd,,This is the last version uploaded for testing purposes. We fixed some issues with broken links and fine tuned the navigation. There should be no changes to the final version. We will keep this version for a couple of days to test if everything is working properly.,2010-02-18,26
110,ParlGov 10/02 online,hd,,We put up a first stable release of ParlGov today – [www.parlgov.org](http://www.parlgov.org). Many thanks for more beta comments from Potsdam and Florence. More information to follow.,2010-02-25,27
115,ParlGov 10/02 — Quo vadis?,hd,,"Just some notes about the status and quality of data in the ParlGov 10/02 release. We have been working with the data in ParlGov for many years. First, this was only an internal project. Over the last year, we have made significant efforts to clean up our data and to document tables, variables and data sources in order to provide a first version about our vision of the future of data collection in political science. This is what ParlGov 10/02 is about: a first version of a long term project and commitment on our side. We have a long list of future enhancement. However, from now onwards, we document all our changes and make sure that you can track the evolution of the project. At this point, most changes are a result of feedback we receive.",2010-02-26,28
108,UK with votes level data ,hd,44,"We have coded the United Kingdom election results for all parties with more than 0.5% of the vote now and included the number of votes for these parties. These updates were included in the ParlGov 10/02 release already. Nevertheless, we have now also put up a [wiki page](http://wiki.parlgov.org/wiki/CountryGbr) with open questions and comments about our codings.",2010-03-12,29
107,Dutch caretaker government and defector parties added,hd,8,"We coded the fall of the Balkenende IV government and the succeeding demissionary cabinet due to the change in party composition. In addition, we also went through all previous Dutch cabinets, added links to their Wikipedia entries and coded defector parties.",2010-03-14,30
112,Finnish cabinets revision,hd,67,We coded the list of Finnish cabinets according to the official website following our [coding scheme](http://wiki.parlgov.org/wiki/DocCabinet). We keep a more fine grained [list of changes](http://wiki.parlgov.org/wiki/ChangeLog) in the wiki.,2010-03-30,31
