id,country,family,name_short,name_english,name,name_ascii,name_nonlatin,wikipedia,foundation_date,dissolution_date,data_source,description,comment,data_json
2,68,26,TOP09,Tradition Responsibility Prosperity 09,Tradice Odpovědnost Prosperita 09,Tradice Odpovednost Prosperita 09,,http://en.wikipedia.org/wiki/Tradition_Responsibility_Prosperity_09,2009-06-11,,,Party formed on 11 June 2009 as a split of the Christian Democratic Union (KDU-CSL) by MP Miroslav Kalousek.,,
3,8,3,KNP,Catholic National Party,Katholieke Nationale Partij,Katholieke Nationale Partij,,http://en.wikipedia.org/wiki/Katholieke_Nationale_Partij,1948-12-11,,,,,
4,5,26,PNP,People's New Party,Kokumin Shinto,Kokumin Shinto,国民新党,http://en.wikipedia.org/wiki/People%27s_New_Party,2005-08-17,,,,,
5,23,26,PU|PC,Humanist Party | Conservative Party,Partidul Umanist | Partidul Conservator,Partidul Umanist | Partidul Conservator,,http://en.wikipedia.org/wiki/Conservative_Party_(Romania),1991-12-18,,,"New party formed on 18 December 1991.
Party was renamed into Conservative Party (PC) on 7 May 2005.
PC merged with Liberal Reformist Party (PLR) into Alliance of Liberals and Democrats (ALDE) on 19 June 2015.
PC members who did not want to merge into ALDE formed Social Liberal Humanist Party (PUSL) on 28 September 2015.",2015 change coded as one party to avoid high number of short lived parties in ParlGov,
6,51,40,NO,New Horizons,Neoi Orizontes,Neoi Orizontes,Νέοι Ορίζοντες,http://en.wikipedia.org/wiki/New_Horizons_%28Cyprus%29,1996-01-01,,,New party formed in 1996.,,
11,63,14,APU,United People Alliance,Aliança Povo Unido,Alianca Povo Unido,,http://en.wikipedia.org/wiki/United_People_Alliance,,,,,,null
15,10,16,KSII,Simeon II Coalition,Koalitsiya Simeon II,Koalitsiya Simeon II,Коалиция Симеон II,,,,,Minor party supporting king but different to National Movement Simeon II (NDSV).,,
16,60,3,SLS,Slovenian People's Party,Slovenska ljudska stranka,Slovenska ljudska stranka,,http://en.wikipedia.org/wiki/Slovenian_People%27s_Party,,,,,SLS merged with SKD 15 April 2000 to form the SLS + SKD Slovenian People's Party in 2000 but the party was renamed into SLS in 2001.,"{""cmp"": [97620, 97810]}"
17,9,16,Hf,Resistance Movement,Hjemmefronten,Hjemmefronten,,http://no.wikipedia.org/wiki/Hjemmefronten,,,,,,"{""information_needed"": ""party origin""}"
18,74,11,SoPr,Labour Solidarity,Solidarność Pracy,Solidarnosc Pracy,,http://pl.wikipedia.org/wiki/Solidarno%C5%9B%C4%87_Pracy,1990-07-01,,,New party formed in 1990. ,,
19,68,16,HSD-SMS,Movement for Self-Governing Democracy -- Society for Moravia and Silesia,Hnutí za samosprávnou demokracii – Společnost pro Moravu a Slezsko,Hnuti za samospravnou demokracii -- Spolecnost pro Moravu a Slezsko,,http://en.wikipedia.org/wiki/Movement_for_Autonomous_Democracy%E2%80%93Party_for_Moravia_and_Silesia,1990-04-04,,,New party formed on 4 April 1990.,,
20,1,40,PSNS,Real Slovak National Party,Pravá Slovenská národná strana,Prava Slovenska narodna strana,,http://en.wikipedia.org/wiki/True_Slovak_National_Party,2001-10-06,,sita,,,
21,15,19,LZP,Lithuanian Green Party,Lietuvos žalioji partija,Lietuvos zalioji partija,,https://en.wikipedia.org/wiki/Lithuanian_Green_Party,,,,,,
25,75,16,SK,Independent Royalists,Sõltumatud Kuningriiklased,Soltumatud Kuningriiklased,,http://en.wikipedia.org/wiki/Independent_Royalist_Party_of_Estonia,1989-09-27,,buga,,,
26,40,6,FDP-PRD,Radical Democratic Party,Freisinnig-Demokratische Partei der Schweiz – Parti Radical-Democratique Suisse,Freisinnig-Demokratische Partei der Schweiz -- Parti Radical-Democratique Suisse,,http://en.wikipedia.org/wiki/Free_Democratic_Party_of_Switzerland,1894-07-01,,,,,
27,9,14,NKP,Communist Party of Norway,Norges Kommunistiske Parti,Norges Kommunistiske Parti,,http://en.wikipedia.org/wiki/Communist_Party_of_Norway,1923-11-04,,,,,
28,15,16,LLRA,Election Action of Lithuania's Poles,Lietuvos lenkų rinkimų akcija,Lietuvos lenku rinkimu akcija,,http://en.wikipedia.org/wiki/Election_Action_of_Lithuania's_Poles,1994-08-28,,,New party formed on 28 August 1994.,,
29,68,40,CNSP,Czech National Social(ist) Party,Česká národně strana socialistická,Ceska narodne strana socialisticka,,http://en.wikipedia.org/wiki/Czech_National_Social_Party,,,ctk,Party merged with National Socialists - 21st Century Left (LEV21) on 26 November 2011.,,
30,37,12,none,no party affiliation,no party affiliation,no party affiliation,,,,,,,,
31,34,16,Mo,Heritage,Morasha,Morasha,מורשה‎,http://en.wikipedia.org/wiki/Morasha,,,,,,
32,55,6,TSP,National Harmony Party,Tautas Saskaņas Partija,Tautas Saskanas Partija,,http://en.wikipedia.org/wiki/Tautas_Saskanas_Partija,,,,,,null
35,40,11,SP-PS,Social Democratic Party of Switzerland,Sozialdemokratische Partei der Schweiz – Parti Socialiste Suisse,Sozialdemokratische Partei der Schweiz -- Parti Socialiste Suisse,,http://en.wikipedia.org/wiki/Social_Democratic_Party_of_Switzerland,1988-10-21,,,,,
41,54,26,FW,Free Voters,Freie Wähler,Freie Waehler,,https://de.wikipedia.org/wiki/Freie_W%C3%A4hler_(Bundesvereinigung),2009-01-24,,,New party formed on 24 January 2009. ,,
42,55,16,LTF,Popular Front of Latvia,Latvijas Tautas fronte,Latvijas Tautas fronte,,http://en.wikipedia.org/wiki/Latvian_Popular_Front,,,,,,
44,1,14,KSS,Communist Party of Slovakia,Komunistická strana Slovenska,Komunisticka strana Slovenska,,http://en.wikipedia.org/wiki/Communist_Party_of_Slovakia,1992-08-28,,,Party formed on 28 August 1992. ,,"{""new_party"": false}"
47,41,3,ND,New Democracy,Néa Đimokratía,Nea Dimokratia,Νέα Δημοκρατία,http://en.wikipedia.org/wiki/New_Democracy_(Greece),,,,,,
50,59,40,FPO,Freedom Party of Austria,Freiheitliche Partei Österreichs,Freiheitliche Partei Oesterreichs,,http://en.wikipedia.org/wiki/Freedom_Party_of_Austria,1949-03-26,,,New party formed on 26 March 1949.,,
52,26,3,DCA,Christian Democracy for the Autonomies,Democrazia Cristiana per le Autonomie,Democrazia Cristiana per le Autonomie,,http://en.wikipedia.org/wiki/Christian_Democracy_for_the_Autonomies,2005-06-25,2009-03-27,,,,
