comment,data_source,description,type,data_json,party_new,party,date,id
,,,,,454,640,1979-07-01,1
,,,35,,501,290,2001-10-13,5
,,,33,,1360,1319,1968-11-01,8
,,,,,980,249,1996-07-01,10
,,,32,,809,1088,1991-02-03,11
,,,,,226,128,2002-07-01,13
,,,,,373,831,1995-07-01,14
,,,,,759,384,1994-07-01,15
,,,,,521,1557,1997-07-01,17
,,,,,521,203,1997-07-01,18
,,,,,519,1446,1990-07-01,19
,,,33,,983,887,2003-05-31,20
,,,,,838,18,1992-07-01,23
,,,33,,1104,1544,1994-04-23,24
,,,34,,645,135,1983-02-18,26
,,,,,1029,167,1978-07-01,28
,,,,,1378,167,1978-07-01,29
Party established before election and previous month used for date change.,,,,,723,1051,1968-04-01,30
Party established before election and previous month used for date change.,,,,,1192,1051,1968-04-01,31
,,,33,,915,969,2002-03-24,33
,,,33,,310,1158,1995-07-01,39
,,,,,226,99,2002-07-01,40
,,,,,226,627,2002-07-01,41
,,,31,,220,1415,1999-11-08,42
,,,34,,220,64,2005-01-01,43
,,,35,,658,138,2002-11-17,44
,,,33,,1292,229,1990-04-29,47
,,,33,,645,1224,1989-01-20,49
,,,33,,645,424,1989-01-20,50
,afp,,31,,64,1415,2002-01-31,51
,,,33,,915,454,2002-03-24,52
,,,32,,1321,1088,1991-12-12,53
,,,,,885,1491,1969-07-01,54
,,,,,889,1281,1987-07-01,58
,,,33,,509,401,1978-07-01,59
,,,33,,659,1547,1988-03-02,61
,,,,,1520,32,1998-07-01,62
,,,,,1520,928,1998-07-01,63
,,,,,1520,309,1998-07-01,64
,at,,31,,1536,50,2005-04-17,65
,,,33,,1597,846,2006-06-04,66
,,,33,,1597,428,2006-06-04,67
,,,34,,1193,1382,2003-11-21,68
,,,,,1146,1193,1993-07-01,69
no new party because Gruene won 75% of combined votes in previous election,,,33,,772,255,1993-05-14,71
,,,31,,482,983,2006-02-25,72
,,,33,,1045,675,2008-05-17,73
,,,34,,1045,1447,2004-02-07,75
,,,33,,1045,432,2008-03-11,76
,,,,,1100,32,2005-07-01,77
,,,,,1100,309,2005-07-01,78
,,,31,,1209,647,1972-11-11,79
,,,31,,1478,1605,1965-09-10,80
,,,34,,131,1000,2006-01-21,82
,,,31,,1140,629,2004-03-26,84
,,,,,326,1252,2007-10-06,89
6 SF MPs formed a new party group on 17 December 1967.,nyt,,31,,189,1644,1967-12-17,90
,,,,,1436,1560,1991-07-01,91
,,,,,1058,509,2007-07-01,92
,,,33,,742,1451,1946-02-09,94
,,,33,,742,944,1946-02-09,95
,,,,,1409,944,1946-03-23,96
,,,31,,4,1193,2005-08-17,100
,,,31,,1175,1193,2005-08-21,101
,,,33,,1313,917,2000-11-16,102
,,,33,,1313,774,2000-11-16,103
,afp,,33,,958,419,2007-12-15,104
,afp,,33,,958,1485,2007-12-15,105
,,,,,1485,1015,2006-07-01,106
,,,,,156,318,1944-07-01,107
,no-2010,,32,,1580,433,1992-07-01,108
