id,election,party,party_id_source,alliance,seats,vote_share,votes,person,data_source,description,comment,data_json
1,34,1393,Fine Gael,,4,24.27,276095,,eed,,,
2,140,281,PCTP/MRPP,,0,1.11,36294,,cne,,,
3,15,94,Centre Party of Finland,,48,22.4,600592,,tila,,,
4,373,886,Dem.,,3,1.4,14270,,bafs,,,
6,604,1030,SVP,,4,0.56,204899,,archivio,,,
7,412,1461,Centerpartiet,,27,7.7,425153,,,,,
8,80,16,Slovenska ljudska stranka -- sls,,7,6.82,66032,,voltive,,,
9,130,113,Estonian Reform Party,,1,12.2,28377,,vvk,,,
12,108,602,EVP,,2,1.6,15690,,bafs,,,
13,512,1154,Miljöpartiet de gröna,,25,7.34,437435,,val,,,
14,467,487,Blocco Nazionale,,19,3.8,1003727,,archivio,Electoral alliance: National Bloc (Blocco Nazionale),,
16,427,1167,PdA,,2,1,18878,,bafs,,,
17,204,625,Gereformeerd Politiek Verbond,,1,0.86,59156,,verk,,,
18,412,904,Socialdemokraterna,,161,45.3,2513905,,,,,
20,644,708,KPB/PCB,,12,7.5,376765,,ibz,,,
21,213,412,Dansk Samling,,0,0.8,16383,,folketing,,,{}
26,257,1426,Szabad Demokraták Szövetsége -- SzDSz,,93,21.4,1050799,,essex,,,
27,314,395,Sosiaalidemokraattinen puolue,,45,21.4,594194,,tila,,,
28,519,339,Europa Transparant,,2,7.33,349156,,verk,,,
29,214,58,Issikèlè pats (Unabhängige) --,,6,,,,vrk,,,
30,81,345,Democraten '66,,17,11.06,961121,,verk,,,
31,326,910,FED.DEI VERDI,,3,3.2,1055797,,archivio,,,
32,14,281,PCTP/MRPP,,0,0.81,24022,,cne,,,{}
34,595,558,SPD,,252,36.4,17140354,,bwl,,,
35,582,689,Sinn Fein,,5,0.6,171942,,bbc,,,
36,658,1003,MLP,,16,33.85,50974,,md,,,
37,531,1478,Abspaltung von der Liberal Party (Venstre. DNK06),,0,1.3,37407,,folketing,,,
38,354,200,True Finns,,0,2.2,49773,,tila,,,
39,164,118,Izquierda Unida -- iu,,5,5.04,1284081,,epp,,,
41,48,1154,Miljopartiet,,0,1.5,83645,,yb-swe,,,
42,613,47,New Democracy,,9,32.7,2133372,,ejpr,,,
43,145,1518,"""New Era""",,2,19.71,113593,,cvk,,,
44,335,756,GroenLinks,,8,5.14,495802,,verk,,,
45,318,1360,People's Alliance,,9,13.9,13403,,hagstofa,,,
