id,cabinet,party,pm,defector,party_id_source,data_source,description,comment,data_json
1,632,1253,1,0,ALP Labour,,,,
2,574,1253,1,0,ALP Labour,,,,
3,490,1253,1,0,ALP Labour,,,,
4,450,1411,1,0,LIB LPA Liberals,,,,
5,450,184,0,0,CP NPA National Party,,,,
6,566,1411,1,0,LIB LPA Liberals,,,,
7,566,184,0,0,CP NPA National Party,,,,
8,479,1411,1,0,LIB LPA Liberals,,,,
9,479,184,0,0,CP NPA National Party,,,,
10,627,1411,1,0,LIB LPA Liberals,,,,
11,627,184,0,0,CP NPA National Party,,,,
12,786,1411,1,0,LIB LPA Liberals,,,,
13,786,184,0,0,CP NPA National Party,,,,
14,261,1411,1,0,LIB LPA Liberals,,,,
15,261,184,0,0,CP NPA National Party,,,,
16,67,1411,1,0,LIB LPA Liberals,,,,
17,67,184,0,0,CP NPA National Party,,,,
18,634,1411,0,0,LIB LPA Liberals,,,,
19,634,184,1,0,CP NPA National Party,,,,
20,1,1411,1,0,LIB LPA Liberals,,,,
21,1,184,0,0,CP NPA National Party,,,,
22,795,1411,1,0,LIB LPA Liberals,,,,
23,795,184,0,0,CP NPA National Party,,,,
24,671,1411,1,0,LIB LPA Liberals,,,,
25,671,184,0,0,CP NPA National Party,,,,
26,507,1253,1,0,ALP Labour,,,,
27,844,1253,1,0,ALP Labour,,,,
28,720,1411,1,0,LIB LPA Liberals,,,,
29,720,184,0,0,NCP NPA National Party,,,,
30,836,1411,1,0,LIB LPA Liberals,,,,
31,836,184,0,0,NCP NPA National Party,,,,
32,421,1411,1,0,LIB LPA Liberals,,,,
33,421,184,0,0,NCP NPA National Party,,,,
34,774,1411,1,0,LIB LPA Liberals,,,,
35,774,184,0,0,NCP NPA National Party,,,,
36,576,1253,1,0,ALP Labour,,,,
37,401,1253,1,0,ALP Labour,,,,
38,875,1253,1,0,ALP Labour,,,,
39,155,1253,1,0,ALP Labour,,,,
40,725,1253,1,0,ALP Labour,,,,
41,49,1253,1,0,ALP Labour,,,,
42,402,1411,1,0,LIB LPA Liberals,,,,
43,402,184,0,0,NPA National Party,,,,
44,423,1411,1,0,LIB LPA Liberals,,,,
45,423,184,0,0,NPA National Party,,,,
46,812,1411,1,0,LIB LPA Liberals,,,,
47,812,184,0,0,NPA National Party,,,,
48,452,769,0,0,KPÖ,bka,,,
49,452,973,0,0,SPÖ,bka,,,
50,452,1013,1,0,ÖVP,bka,,,
51,775,973,0,0,Socialists,nyt,,,
52,775,1013,1,0,People's Party,nyt,,,
53,560,973,0,0,SPÖ,bka,,,
54,560,1013,1,0,ÖVP,bka,,,
55,659,973,0,0,SPOe,faz,,,
56,659,1013,1,0,OeVP,faz,,,
57,105,973,0,0,SPÖ,mueller,,,
58,105,1013,1,0,ÖVP,mueller,,,
59,114,973,0,0,SPÖ,mueller,,,
60,114,1013,1,0,ÖVP,mueller,,,
61,757,973,0,0,Socialists,nyt,,,
62,757,1013,1,0,People's Party,nyt,,,
63,533,973,0,0,SPÖ,mueller,,,
64,533,1013,1,0,ÖVP,mueller,,,
65,622,973,0,0,SPÖ,mueller,,,
66,622,1013,1,0,ÖVP,mueller,,,
67,483,973,0,0,SPÖ,bka,,,
68,483,1013,1,0,ÖVP,bka,,,
69,561,1013,1,0,ÖVP,mueller,,,
70,354,973,1,0,Socialist,nyt,,,
71,365,973,1,0,SPÖ,mueller,,,
72,350,973,1,0,SPÖ,mueller,,,
73,702,973,1,0,SPÖ,mueller,,,
74,702,50,0,0,FPÖ,mueller,,,
75,828,973,1,0,SPÖ,mueller,,,
76,828,50,0,0,FPÖ,mueller,,,
77,873,973,1,0,SPÖ,mueller,,,
78,873,1013,0,0,ÖVP,mueller,,,
79,524,973,1,0,SPOe,reuters,,,
80,524,1013,0,0,OeVP,reuters,,,
81,294,973,1,0,SPÖ,mueller,,,
82,294,1013,0,1,ÖVP,mueller,,,
83,323,973,1,0,SPÖ,bka,,,
84,323,1013,0,0,ÖVP,bka,,,
85,412,973,1,0,SPÖ,bka,,,
86,412,1013,0,0,ÖVP,bka,,,
87,722,50,0,1,FPÖ,afp,Freedom Party (FPO) ministers resigned on 8 September 2002 following conflict with the party leader over the governments tax policy.,,
88,722,1013,1,0,Peoples Party,afp,,,
89,257,50,0,1,FPÖ,"afp, bka",Freedom Party (FPO) ministers joined Future of Austria (BZO) on 4 April 2005 and the parliamentary group split into FPO and BZO members remaining formally one group in parliament.,,
90,257,1013,1,0,ÖVP,"afp, bka",,,
91,593,708,0,1,Comm. Communist Party,,Communist Party (KPB-PCB) ministers withdrew from provisional cabinet.,,
92,593,167,0,0,Soc. PSB-BSP Socialists,,,,
93,593,63,0,0,Lib. PLP-PVV Liberals,,,,
94,593,1051,1,0,Cath. PSC-CVP Christian Peoples Party,,,,
95,29,167,0,0,Soc. PSB-BSP Socialists,,,,
96,29,63,0,0,Lib. PLP-PVV Liberals,,,,
97,29,1051,1,0,Cath. PSC-CVP Christian Peoples Party,,,,
98,808,708,0,0,Comm. Communist Party,,,,
99,808,167,1,0,Soc. PSB-BSP Socialists,,,,
100,808,63,0,0,Lib. PLP-PVV Liberals,,,,
101,808,1051,0,0,Cath. PSC-CVP Christian Peoples Party,,,,
102,204,708,0,0,Comm. Communist Party,,,,
103,204,167,1,0,Soc. PSB-BSP Socialists,,,,
104,204,63,0,0,Lib. PLP-PVV Liberals,,,,
105,168,167,1,0,Soc. PSB-BSP Socialists,,,,
106,489,708,0,0,Comm. Communist Party,,,,
107,489,167,1,0,Soc. PSB-BSP Socialists,,,,
108,489,63,0,0,Lib. PLP-PVV Liberals,,,,
109,540,708,0,0,Comm. Communist Party,,,,
110,540,167,1,0,Soc. PSB-BSP Socialists,,,,
111,540,63,0,0,Lib. PLP-PVV Liberals,,,,
112,496,167,1,0,Soc. PSB-BSP Socialists,,,,
113,496,1051,0,0,PSC-CVP Christian Peoples Party,,,,
114,40,167,1,0,Soc. PSB-BSP Socialists,,,,
115,40,1051,0,0,PSC-CVP Christian Peoples Party,,,,
116,746,63,0,1,Liberals,nyt,Liberal Party (LP-PL) resigned over the return of King Leopold.,,
117,746,1051,1,0,PSC-CVP Christian Peoples Party,,,,
118,695,1051,1,0,PSC-CVP Christian Peoples Party,,,,
119,700,1051,1,0,PSC-CVP Christian Peoples Party,,,,
120,389,1051,1,0,PSC-CVP Christian Peoples Party,,,,
121,745,167,1,0,Soc. PSB-BSP Socialists,,,,
122,745,63,0,0,Lib. PLP-PVV Liberals,,,,
123,112,1051,1,0,PSC-CVP Christian Peoples Party,,,,
124,144,63,0,0,Liberals,nyt,Liberals (LP-PL) resigned on 17 February 1961 following disagreement on tax policies but the request was not accepted by the king.,,
125,144,1051,1,0,Christian Peoples Party,,,,
128,613,167,0,0,Soc. PSB-BSP Socialists,,,,
129,613,1051,1,0,PSC-CVP Christian Peoples Party,,,,
130,311,167,0,0,Soc. PSB-BSP Socialists,,,,
131,311,1051,1,0,PSC-CVP Christian Peoples Party,,,,
132,353,63,0,0,PLP-PVV Liberals,,,,
133,353,1051,1,0,PSC-CVP Christian Peoples Party,,,,
134,586,167,0,0,PSB-BSP Socialists,,,,
135,586,723,1,0,CVP Flemish Christian Peoples Party,,,,
136,586,1192,0,0,PSC Francophone Christian Social Party,,,,
137,448,167,0,0,PSB PSB-BSP Socialists,,,,
138,448,723,1,0,CVP Flemish Christian Peoples Party,,,,
139,448,1192,0,0,PSC Francophone Christian Social Party,,,,
140,859,167,1,0,PSB PSB-BSP Socialists,,,,
141,859,1110,0,0,PVV Flemish Liberals,,,,
142,859,454,0,0,PLP PRL Francophone Liberals,,,,
143,859,723,0,0,CVP Flemish Christian Peoples Party,,,,
144,859,1192,0,0,PSC Francophone Christian Social Party,,,,
155,677,1110,0,0,PVV Flemish Liberals,,,,
156,677,454,0,0,PLP PRL Francophone Liberals,,,,
157,677,723,1,0,CVP Flemish Christian Peoples Party,,,,
158,677,1192,0,0,PSC Francophone Christian Social Party,,,,
159,847,1110,0,0,PVV Flemish Liberals,,,,
160,847,454,0,0,PLP PRL Francophone Liberals,,,,
161,847,723,1,0,CVP Flemish Christian Peoples Party,,,,
162,847,1192,0,0,PSC Francophone Christian Social Party,,,,
163,847,460,0,0,RW Walloon Rally,,,,
169,451,1110,0,0,PVV Flemish Liberals,,,,
170,451,454,0,0,PRLW PRL Francophone Liberals,,,,
171,451,723,1,0,CVP Flemish Christian Peoples Party,,,,
172,451,1192,0,0,PSC Francophone Christian Social Party,,,,
173,225,167,0,0,PSB PSB-BSP Socialists,,,,
174,225,723,1,0,CVP Flemish Christian Peoples Party,,,,
175,225,1192,0,0,PSC Francophone Christian Social Party,,,,
176,225,290,0,0,VU Flemish Peoples Union,,,,
177,225,969,0,0,FDF French-Speaking Front,,,,
178,233,167,0,0,PSB PSB-BSP Socialists,,,,
179,233,723,0,0,CVP Flemish Christian Peoples Party,,,,
180,233,1192,1,0,PSC Francophone Christian Social Party,,,,
181,233,290,0,0,VU Flemish Peoples Union,,,,
182,233,969,0,0,FDF French-Speaking Front,,,,
183,521,1029,0,0,SP Flemish Socialists,,,,
184,521,1378,0,0,PS Francophone Socialists,,,,
185,521,723,1,0,CVP Flemish Christian Peoples Party,,,,
186,521,1192,0,0,PSC Francophone Christian Social Party,,,,
187,521,969,0,1,FDF,"mueller, nyt","Democratic Front (FDF) ministers resigned on 16 January 1980, following conflict over regionalisation,",,
188,278,1029,0,0,SP Flemish Socialists,,,,
189,278,1378,0,0,PS Francophone Socialists,,,,
190,266,1110,0,0,VLD,mueller,,,
191,266,454,0,0,PRL,mueller,,,
192,278,723,1,0,CVP Flemish Christian Peoples Party,,,,
193,278,1192,0,0,PSC Francophone Christian Social Party,,,,
194,266,1029,0,0,SP Flemish Socialists,,,,
195,266,1378,0,0,PS Francophone Socialists,,,,
196,266,723,1,0,CVP Flemish Christian Peoples Party,,,,
197,266,1192,0,0,PSC Francophone Christian Social Party,,,,
198,429,1029,0,0,SP Flemish Socialists,,,,
199,429,1378,0,0,PS Francophone Socialists,,,,
200,429,723,1,0,CVP Flemish Christian Peoples Party,,,,
201,429,1192,0,0,PSC Francophone Christian Social Party,,,,
202,724,1110,0,0,PVV Flemish Liberals,,,,
203,724,454,0,0,PRL Francophone Liberals,,,,
204,724,723,1,0,CVP Flemish Christian Peoples Party,,,,
205,724,1192,0,0,PSC Francophone Christian Social Party,,,,
206,375,1110,0,0,PVV Flemish Liberals,,,,
207,375,454,0,0,PRL Francophone Liberals,,,,
208,375,723,1,0,CVP Flemish Christian Peoples Party,,,,
209,375,1192,0,0,PSC Francophone Christian Social Party,,,,
210,92,1110,0,0,PVV Flemish Liberals,,,,
211,92,454,0,0,PRL Francophone Liberals,,,,
212,92,723,1,0,CVP Flemish Christian Peoples Party,,,,
213,92,1192,0,0,PSC Francophone Christian Social Party,,,,
214,457,1029,0,0,SP Flemish Socialists,,,,
215,457,1378,0,0,PS Francophone Socialists,,,,
216,457,723,1,0,CVP Flemish Christian Peoples Party,,,,
217,457,1192,0,0,PSC Francophone Christian Social Party,,,,
218,457,290,0,1,VU Flemish Peoples Union,reuters,People's Union (VU) ministers withdrew from cabinet on 29 September 1991 over a dispute on arms trade.,,
219,570,1029,0,0,SP Flemish Socialists,,,,
220,570,1378,0,0,PS Francophone Socialists,,,,
221,570,723,1,0,CVP Flemish Christian Peoples Party,,,,
222,570,1192,0,0,PSC Francophone Christian Social Party,,,,
223,624,1029,0,0,SP Flemish Socialists,,,,
224,624,1378,0,0,PS Francophone Socialists,,,,
225,624,723,1,0,CVP Flemish Christian Peoples Party,,,,
226,624,1192,0,0,PSC Francophone Christian Social Party,,,,
227,95,1029,0,0,SP Flemish Socialists,,,,
228,95,1378,0,0,PS Francophone Socialists,,,,
229,95,723,1,0,CVP Flemish Christian Peoples Party,,,,
230,95,1192,0,0,PSC Francophone Christian Social Party,,,,
231,193,161,0,0,Ecolo Francophone Ecologists,,,,
232,193,1594,0,0,Agalev Flemish Greens,,,,
233,193,1029,0,0,SP Flemish Socialists,,,,
234,193,1378,0,0,PS Francophone Socialists,,,,
235,193,1110,1,0,VLD PVV Flemish Liberals,,,,
236,193,454,0,0,PRL Francophone Liberals,,,,
237,449,1113,0,0,sp.a,,,,
238,449,1378,0,0,ps,,,,
239,449,1110,1,0,vld,,,,
240,449,915,0,0,mr,,,,
241,608,368,1,0,lib LP Liberals,,,,
242,534,368,1,0,lib LP Liberals,,,,
243,249,794,1,0,PCP Conservatives,,,,
244,857,368,1,0,lib LP Liberals,,,,
245,415,368,1,0,lib LP Liberals,,,,
246,565,368,1,0,lib LP Liberals,,,,
247,696,368,1,0,lib LP Liberals,,,,
248,25,368,1,0,lib LP Liberals,,,,
249,783,368,1,0,lib LP Liberals,,,,
250,751,794,1,0,PCP Conservatives,,,,
251,70,368,1,0,lib LP Liberals,,,,
252,670,368,1,0,lib LP Liberals,,,,
