table_legacy,migrate,table_new
cabinet,1,data_cabinet
cabinet_confidence_vote,0,
cabinet_party,1,data_cabinet_party
cabinet_support,0,
country,1,data_country
election,1,data_election
election_result,1,data_election_result
external_commissioner_doering,0,
external_country_iso,0,
external_party_benoit_laver,0,
external_party_castles_mair,0,
external_party_chess,0,
external_party_cmp,0,
external_party_ees,0,
external_party_euprofiler,0,
external_party_huber_inglehart,0,
external_party_ray,0,
info_data_source,0,
info_data_source_country,0,
info_id,1,data_code
info_news,1,docs_news
info_page_content,1,docs_page
info_table,0,
info_variable,0,
info_variable_json,0,
parliament_change,0,
parliament_composition,0,
party,1,data_party
party_change,1,data_party_change
party_family,1,data_party_family
party_name_change,1,data_party_name_change
politician_president,0,
view_cabinet,1,view_cabinet
view_election,1,view_election
view_party,1,view_party
view_variable,0,
viewcalc_country_year_share,0,
viewcalc_election_parameter,0,
viewcalc_parliament_composition,0,
viewcalc_party_position,0,
